created_at,vendor_name,brand_name,title,sku,handle,inventory_quantity,original_price,discounted_price,category_names,image_links,main_category
26:52.4,Consumer Express Laptops,Realme,Oraimo FreePods Lite True Wireless Earbuds -OTW-330 (Installment),OTW-330-CE,oraimo-freepods-lite-true-wireless-earbuds-otw-330-installment,100,6999,6999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/otw-330-ce_120525162401175186.jpg,Mobile Phones & Tablets
26:51.5,Consumer Express Laptops,OnePlus,Oneplus Watch 2R (Installment),OP-W2R-CE,oneplus-watch-2r-installment,100,69999,69999,"Mobile Phones & Tablets, Smartwatches",https://cdn.comverseglobal.com/alfa/products/product_images/op-w2r-ce_120525162602447285.jpg,Watches
26:50.5,Consumer Express Laptops,OnePlus,Oneplus Buds ACE (Installment),0P-BA-CE,oneplus-buds-ace-installment,100,14999,14999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/op-ba-ce_120525162753759628.jpg,Mobile Phones & Tablets
26:48.7,Consumer Express Laptops,OnePlus,OnePlus Buds Ace 2 (Installment),0P-BA2-CE,oneplus-buds-ace-2-installment,100,21999,21999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/op-ba2-ce_120525163002162395.jpg,Mobile Phones & Tablets
26:47.7,Consumer Express Laptops,Hitachi,My Book from WD 4TB Black Desktop External Hard Drive (Installment),WD-MB4TB-CE,my-book-from-wd-4tb-black-desktop-external-hard-drive-installment,100,47999,47999,"Computing Accessories, Gaming & Laptops",https://cdn.comverseglobal.com/alfa/products/product_images/wd-mb4tb-ce_120525163032977432.jpg,Accessories
26:46.7,Consumer Express Laptops,Realme,Mcdodo 30w 1000mah Magnetic PowerBank -MC5931 (Installment),MC5931-CE,mcdodo-30w-1000mah-magnetic-powerbank-mc5931-installment,100,11999,11999,"Acessories, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/mc5931-ce_120525163455028742.jpg,Mobile Phones & Tablets
26:45.7,Consumer Express Laptops,Realme,Mcdodo 22.5w 20000mAH Power Bank -MC3891 (Installment),MC3891-CE,mcdodo-225w-20000mah-power-bank-mc3891-installment,100,9999,9999,"Acessories, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/mc3891-ce_120525163555164806.jpg,Mobile Phones & Tablets
26:44.2,Consumer Express Laptops,Realme,Mcdodo 20w 10000mah Magnetic PowerBank -MC5101 (Installment),MC5101-CE,mcdodo-20w-10000mah-magnetic-powerbank-mc5101-installment,100,12499,12499,"Acessories, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/mc5101-ce_120525163635430250.jpg,Mobile Phones & Tablets
26:43.1,Consumer Express Laptops,JBL,Jbl Wave Flex 2 True Wireless Earbuds (Installment),JBL-WF2-CE,jbl-wave-flex-2-true-wireless-earbuds-installment,100,31999,31999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/jbl-wf2-ce_120525163733351469.jpg,Mobile Phones & Tablets
26:42.0,Consumer Express Laptops,JBL,Jbl Endurance Race True Wireless Earbuds (Installment),JBL-ER-CE,jbl-endurance-race-true-wireless-earbuds-installment,100,31999,31999,"Acessories, Head phones & ear phones, Mobile Phones & Tablets",https://cdn.comverseglobal.com/alfa/products/product_images/jbl-er-ce_120525163806113283.jpg,Mobile Phones & Tablets
